timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,expiry
2025-02-04 09:25:28.150453,BANKNIFTY27FEB25F,FUTIDX,49856.1,183180,49855.1,49856.1,3106230,540,210,BANKNIFTY,27-FEB-2025
2025-02-04 09:25:36.196977,BANKNIFTY27FEB25F,FUTIDX,49862.0,184950,49858.25,49862.0,3106230,30,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:25:45.064467,BANKNIFTY27FEB25F,FUTIDX,49865.0,185130,49862.1,49865.0,3106230,90,330,BANKNIFTY,27-FEB-2025
2025-02-04 09:25:52.906477,BANKNIFTY27FEB25F,FUTIDX,49869.0,186300,49867.0,49870.0,3106230,60,330,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:00.868550,BANKNIFTY27FEB25F,FUTIDX,49870.25,186990,49868.1,49870.25,3106230,150,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:08.774722,BANKNIFTY27FEB25F,FUTIDX,49869.95,187740,49868.0,49869.95,3106230,600,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:17.181276,BANKNIFTY27FEB25F,FUTIDX,49858.25,189420,49858.4,49861.0,3106230,150,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:42.224814,BANKNIFTY27FEB25F,FUTIDX,49844.7,193170,49842.15,49854.2,3106230,240,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:50.862133,BANKNIFTY27FEB25F,FUTIDX,49854.95,193710,49853.0,49854.95,3106230,90,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:26:58.817694,BANKNIFTY27FEB25F,FUTIDX,49850.0,194460,49846.65,49850.0,3106230,30,840,BANKNIFTY,27-FEB-2025
2025-02-04 09:27:24.644780,BANKNIFTY27FEB25F,FUTIDX,49849.8,197670,49845.0,49849.8,3106230,600,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:27:34.859400,BANKNIFTY27FEB25F,FUTIDX,49849.5,198450,49845.1,49849.7,3106230,30,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:27:52.448701,BANKNIFTY27FEB25F,FUTIDX,49845.0,199980,49845.0,49847.9,3104250,240,120,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:02.416122,BANKNIFTY27FEB25F,FUTIDX,49842.9,200670,49840.0,49842.8,3104250,180,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:10.706884,BANKNIFTY27FEB25F,FUTIDX,49830.2,201390,49830.1,49837.1,3104250,30,330,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:19.074724,BANKNIFTY27FEB25F,FUTIDX,49826.2,202140,49829.0,49835.8,3104250,150,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:26.802304,BANKNIFTY27FEB25F,FUTIDX,49837.0,203910,49831.5,49836.15,3104250,30,870,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:34.612724,BANKNIFTY27FEB25F,FUTIDX,49841.5,206070,49841.6,49845.0,3104250,30,480,BANKNIFTY,27-FEB-2025
2025-02-04 09:28:48.844280,BANKNIFTY27FEB25F,FUTIDX,49841.5,207300,49833.0,49841.5,3104250,240,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:00.571012,BANKNIFTY27FEB25F,FUTIDX,49830.0,207960,49829.95,49830.0,3104250,30,390,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:11.816176,BANKNIFTY27FEB25F,FUTIDX,49825.75,209730,49821.0,49827.9,3104250,270,210,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:22.994533,BANKNIFTY27FEB25F,FUTIDX,49800.0,212340,49800.0,49807.0,3104250,1200,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:32.491875,BANKNIFTY27FEB25F,FUTIDX,49805.05,213420,49805.1,49806.0,3104250,30,240,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:40.055994,BANKNIFTY27FEB25F,FUTIDX,49830.0,215520,49820.0,49828.55,3104250,90,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:29:49.008098,BANKNIFTY27FEB25F,FUTIDX,49810.0,218940,49809.3,49825.7,3104250,120,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:00.667769,BANKNIFTY27FEB25F,FUTIDX,49837.9,221130,49827.7,49830.0,3104250,30,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:11.076454,BANKNIFTY27FEB25F,FUTIDX,49854.8,223710,49841.85,49852.8,3104250,30,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:20.227105,BANKNIFTY27FEB25F,FUTIDX,49854.95,224400,49852.85,49854.95,3104250,60,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:28.546317,BANKNIFTY27FEB25F,FUTIDX,49861.5,225960,49855.0,49858.85,3104250,60,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:37.725465,BANKNIFTY27FEB25F,FUTIDX,49834.0,227460,49836.2,49850.7,3104250,180,90,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:45.791955,BANKNIFTY27FEB25F,FUTIDX,49834.15,229110,49836.1,49846.25,3108420,30,150,BANKNIFTY,27-FEB-2025
2025-02-04 09:30:53.302346,BANKNIFTY27FEB25F,FUTIDX,49813.75,230100,49832.0,49833.3,3108420,60,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:01.672725,BANKNIFTY27FEB25F,FUTIDX,49810.35,231420,49810.35,49827.5,3108420,330,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:09.856854,BANKNIFTY27FEB25F,FUTIDX,49800.05,234600,49800.0,49800.05,3108420,630,600,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:22.021534,BANKNIFTY27FEB25F,FUTIDX,49811.0,238770,49811.0,49817.3,3108420,270,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:32.207304,BANKNIFTY27FEB25F,FUTIDX,49811.15,240270,49811.15,49819.95,3108420,570,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:40.508163,BANKNIFTY27FEB25F,FUTIDX,49830.0,240750,49819.2,49830.0,3108420,270,90,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:48.337813,BANKNIFTY27FEB25F,FUTIDX,49834.15,241170,49830.0,49836.6,3108420,240,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:31:57.808746,BANKNIFTY27FEB25F,FUTIDX,49836.55,241680,49829.7,49836.55,3108420,270,90,BANKNIFTY,27-FEB-2025
2025-02-04 09:32:06.044379,BANKNIFTY27FEB25F,FUTIDX,49850.0,243720,49850.0,49858.0,3108420,2820,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:32:18.726354,BANKNIFTY27FEB25F,FUTIDX,49869.0,245760,49865.05,49869.0,3108420,60,240,BANKNIFTY,27-FEB-2025
2025-02-04 09:32:29.498101,BANKNIFTY27FEB25F,FUTIDX,49888.0,250650,49882.45,49889.0,3108420,270,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:32:44.070633,BANKNIFTY27FEB25F,FUTIDX,49880.75,256800,49870.05,49880.75,3108420,30,150,BANKNIFTY,27-FEB-2025
2025-02-04 09:32:54.543458,BANKNIFTY27FEB25F,FUTIDX,49870.0,258090,49870.0,49878.05,3108420,30,30,BANKNIFTY,27-FEB-2025
2025-02-04 09:33:03.792812,BANKNIFTY27FEB25F,FUTIDX,49870.05,258930,49870.0,49882.4,3108420,30,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:33:12.126169,BANKNIFTY27FEB25F,FUTIDX,49880.0,260880,49870.0,49882.4,3108420,30,60,BANKNIFTY,27-FEB-2025
2025-02-04 09:33:20.716196,BANKNIFTY27FEB25F,FUTIDX,49870.75,261000,49870.8,49878.45,3108420,60,270,BANKNIFTY,27-FEB-2025
