timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,expiry
2025-02-04 09:25:28.150453,FINNIFTY27FEB25F,FUTIDX,23420.3,4550,23421.95,23429.15,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:25:36.196977,FINNIFTY27FEB25F,FUTIDX,23424.75,4550,23425.6,23434.2,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:25:45.064467,FINNIFTY27FEB25F,FUTIDX,23424.75,4680,23425.9,23435.35,46735,130,65,FINNIFTY,27-FEB-2025
2025-02-04 09:25:52.906477,FINNIFTY27FEB25F,FUTIDX,23424.75,4680,23431.65,23438.35,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:00.868550,FINNIFTY27FEB25F,FUTIDX,23424.3,4745,23426.3,23433.05,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:08.774722,FINNIFTY27FEB25F,FUTIDX,23424.3,5135,23426.25,23434.85,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:17.181276,FINNIFTY27FEB25F,FUTIDX,23424.3,5135,23416.7,23422.55,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:42.224814,FINNIFTY27FEB25F,FUTIDX,23424.3,5135,23413.75,23420.85,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:50.862133,FINNIFTY27FEB25F,FUTIDX,23424.3,5135,23422.35,23427.35,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:26:58.817694,FINNIFTY27FEB25F,FUTIDX,23424.3,5135,23422.45,23427.95,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:27:24.644780,FINNIFTY27FEB25F,FUTIDX,23428.0,5200,23422.4,23429.7,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:27:34.859400,FINNIFTY27FEB25F,FUTIDX,23428.0,5200,23417.95,23424.75,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:27:52.448701,FINNIFTY27FEB25F,FUTIDX,23428.0,5200,23418.9,23425.95,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:28:02.416122,FINNIFTY27FEB25F,FUTIDX,23428.0,5200,23417.35,23425.75,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:28:10.706884,FINNIFTY27FEB25F,FUTIDX,23428.0,5200,23413.2,23421.0,46735,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:28:19.074724,FINNIFTY27FEB25F,FUTIDX,23415.0,5330,23411.75,23420.45,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:28:26.802304,FINNIFTY27FEB25F,FUTIDX,23415.0,5330,23415.3,23424.15,46215,130,65,FINNIFTY,27-FEB-2025
2025-02-04 09:28:34.612724,FINNIFTY27FEB25F,FUTIDX,23413.0,5460,23414.65,23422.7,46215,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:28:48.844280,FINNIFTY27FEB25F,FUTIDX,23413.0,5460,23416.55,23423.1,46215,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:00.571012,FINNIFTY27FEB25F,FUTIDX,23421.6,5525,23407.65,23414.4,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:11.816176,FINNIFTY27FEB25F,FUTIDX,23421.6,5525,23403.4,23410.1,46215,65,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:22.994533,FINNIFTY27FEB25F,FUTIDX,23421.6,5525,23395.5,23404.85,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:32.491875,FINNIFTY27FEB25F,FUTIDX,23407.3,5590,23401.1,23408.4,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:40.055994,FINNIFTY27FEB25F,FUTIDX,23407.3,5590,23404.15,23412.95,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:29:49.008098,FINNIFTY27FEB25F,FUTIDX,23407.3,5590,23400.45,23408.0,46215,130,130,FINNIFTY,27-FEB-2025
2025-02-04 09:30:00.667769,FINNIFTY27FEB25F,FUTIDX,23407.3,5590,23407.55,23416.55,46215,260,130,FINNIFTY,27-FEB-2025
2025-02-04 09:30:11.076454,FINNIFTY27FEB25F,FUTIDX,23418.5,5720,23411.4,23420.3,46215,130,195,FINNIFTY,27-FEB-2025
2025-02-04 09:30:20.227105,FINNIFTY27FEB25F,FUTIDX,23418.5,5720,23416.25,23425.2,46215,130,195,FINNIFTY,27-FEB-2025
