timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,expiry
2025-02-04 09:27:24.644780,MIDCPNIFTY27FEB25F,FUTIDX,12009.75,105840,12005.8,12012.55,2844240,120,480,NIFTY,27-FEB-2025
2025-02-04 09:27:34.859400,MIDCPNIFTY27FEB25F,FUTIDX,12008.5,106200,12008.05,12009.0,2844240,240,120,NIFTY,27-FEB-2025
2025-02-04 09:27:52.448701,MIDCPNIFTY27FEB25F,FUTIDX,12009.1,107400,12006.55,12008.05,2845680,120,720,NIFTY,27-FEB-2025
2025-02-04 09:28:02.416122,MIDCPNIFTY27FEB25F,FUTIDX,12006.55,108120,12006.9,12008.05,2845680,240,720,NIFTY,27-FEB-2025
2025-02-04 09:28:10.706884,MIDCPNIFTY27FEB25F,FUTIDX,12007.15,109320,12005.6,12008.15,2845680,240,120,NIFTY,27-FEB-2025
2025-02-04 09:28:19.074724,MIDCPNIFTY27FEB25F,FUTIDX,12004.0,110040,12004.0,12005.4,2845680,120,240,NIFTY,27-FEB-2025
2025-02-04 09:28:26.802304,MIDCPNIFTY27FEB25F,FUTIDX,12006.0,110160,12004.0,12006.0,2845680,120,720,NIFTY,27-FEB-2025
2025-02-04 09:28:34.612724,MIDCPNIFTY27FEB25F,FUTIDX,12008.05,111000,12005.05,12007.25,2845680,240,240,NIFTY,27-FEB-2025
2025-02-04 09:28:48.844280,MIDCPNIFTY27FEB25F,FUTIDX,12007.95,112320,12003.6,12007.95,2845680,120,240,NIFTY,27-FEB-2025
2025-02-04 09:29:00.571012,MIDCPNIFTY27FEB25F,FUTIDX,12005.5,112800,12002.6,12007.85,2845680,480,240,NIFTY,27-FEB-2025
2025-02-04 09:29:11.816176,MIDCPNIFTY27FEB25F,FUTIDX,12003.05,113160,12000.9,12006.15,2845680,240,120,NIFTY,27-FEB-2025
2025-02-04 09:29:22.994533,MIDCPNIFTY27FEB25F,FUTIDX,11994.65,113880,11997.85,12000.9,2845680,120,240,NIFTY,27-FEB-2025
2025-02-04 09:29:32.491875,MIDCPNIFTY27FEB25F,FUTIDX,12001.05,115080,11999.5,12005.55,2845680,840,480,NIFTY,27-FEB-2025
2025-02-04 09:29:40.055994,MIDCPNIFTY27FEB25F,FUTIDX,11996.95,116160,11997.35,12000.0,2845680,600,120,NIFTY,27-FEB-2025
2025-02-04 09:29:49.008098,MIDCPNIFTY27FEB25F,FUTIDX,12005.85,116400,12002.6,12005.85,2845680,240,120,NIFTY,27-FEB-2025
2025-02-04 09:30:00.667769,MIDCPNIFTY27FEB25F,FUTIDX,12002.0,117480,12003.0,12008.0,2845680,480,240,NIFTY,27-FEB-2025
2025-02-04 09:30:11.076454,MIDCPNIFTY27FEB25F,FUTIDX,12007.95,117840,12007.1,12008.0,2845680,480,240,NIFTY,27-FEB-2025
2025-02-04 09:30:20.227105,MIDCPNIFTY27FEB25F,FUTIDX,12014.95,118680,12006.8,12011.9,2845680,480,240,NIFTY,27-FEB-2025
2025-02-04 09:30:28.546317,MIDCPNIFTY27FEB25F,FUTIDX,12013.4,119160,12005.55,12011.95,2845680,960,120,NIFTY,27-FEB-2025
2025-02-04 09:30:37.725465,MIDCPNIFTY27FEB25F,FUTIDX,12013.4,119160,12005.35,12010.65,2845680,960,120,NIFTY,27-FEB-2025
2025-02-04 09:30:45.791955,MIDCPNIFTY27FEB25F,FUTIDX,12011.6,119520,12005.0,12008.95,2851080,720,240,NIFTY,27-FEB-2025
2025-02-04 09:30:53.302346,MIDCPNIFTY27FEB25F,FUTIDX,12005.05,119640,12005.05,12009.6,2851080,120,240,NIFTY,27-FEB-2025
2025-02-04 09:31:01.672725,MIDCPNIFTY27FEB25F,FUTIDX,11995.35,121200,11993.0,11995.6,2851080,120,1320,NIFTY,27-FEB-2025
2025-02-04 09:31:09.856854,MIDCPNIFTY27FEB25F,FUTIDX,11995.35,121200,11997.5,12005.05,2851080,480,1560,NIFTY,27-FEB-2025
2025-02-04 09:31:22.021534,MIDCPNIFTY27FEB25F,FUTIDX,11997.05,121680,11998.75,12005.55,2851080,480,240,NIFTY,27-FEB-2025
2025-02-04 09:31:32.207304,MIDCPNIFTY27FEB25F,FUTIDX,11997.05,122280,11995.0,11998.65,2851080,120,480,NIFTY,27-FEB-2025
2025-02-04 09:31:40.508163,MIDCPNIFTY27FEB25F,FUTIDX,11997.05,122280,11996.0,12002.6,2851080,360,480,NIFTY,27-FEB-2025
2025-02-04 09:31:48.337813,MIDCPNIFTY27FEB25F,FUTIDX,12003.9,122520,12000.45,12005.9,2851080,480,480,NIFTY,27-FEB-2025
2025-02-04 09:31:57.808746,MIDCPNIFTY27FEB25F,FUTIDX,12003.15,123720,12003.15,12005.0,2851080,120,120,NIFTY,27-FEB-2025
2025-02-04 09:32:06.044379,MIDCPNIFTY27FEB25F,FUTIDX,12011.9,124320,12007.75,12009.95,2851080,480,480,NIFTY,27-FEB-2025
2025-02-04 09:32:18.726354,MIDCPNIFTY27FEB25F,FUTIDX,12011.9,124320,12008.1,12012.7,2851080,480,480,NIFTY,27-FEB-2025
2025-02-04 09:32:29.498101,MIDCPNIFTY27FEB25F,FUTIDX,12009.9,124440,12006.45,12011.9,2851080,360,480,NIFTY,27-FEB-2025
2025-02-04 09:32:44.070633,MIDCPNIFTY27FEB25F,FUTIDX,12009.9,124440,12007.25,12010.0,2851080,840,1080,NIFTY,27-FEB-2025
2025-02-04 09:32:54.543458,MIDCPNIFTY27FEB25F,FUTIDX,12009.9,124560,12006.25,12010.0,2851080,840,1080,NIFTY,27-FEB-2025
2025-02-04 09:33:03.792812,MIDCPNIFTY27FEB25F,FUTIDX,12012.8,125640,12009.55,12012.8,2851080,120,480,NIFTY,27-FEB-2025
2025-02-04 09:33:12.126169,MIDCPNIFTY27FEB25F,FUTIDX,12012.8,126000,12008.05,12012.5,2851080,840,480,NIFTY,27-FEB-2025
2025-02-04 09:33:20.716196,MIDCPNIFTY27FEB25F,FUTIDX,12012.8,126000,12008.1,12012.4,2851080,840,480,NIFTY,27-FEB-2025
2025-02-04 09:33:29.245545,MIDCPNIFTY27FEB25F,FUTIDX,12006.5,126960,12005.1,12007.4,2851080,120,480,NIFTY,27-FEB-2025
2025-02-04 09:33:37.833680,MIDCPNIFTY27FEB25F,FUTIDX,12006.5,126960,12002.4,12008.75,2851080,240,720,NIFTY,27-FEB-2025
2025-02-04 09:33:48.873435,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127200,12002.2,12004.75,2850720,840,120,NIFTY,27-FEB-2025
2025-02-04 09:34:00.543238,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127200,11999.2,12004.7,2850720,600,480,NIFTY,27-FEB-2025
2025-02-04 09:34:08.232453,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127200,11999.35,12004.75,2850720,240,120,NIFTY,27-FEB-2025
2025-02-04 09:34:16.108773,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127200,12001.75,12004.75,2850720,720,120,NIFTY,27-FEB-2025
2025-02-04 09:34:24.194626,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127440,12000.0,12004.7,2850720,120,720,NIFTY,27-FEB-2025
2025-02-04 09:34:32.818516,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127440,12000.0,12004.6,2850720,120,480,NIFTY,27-FEB-2025
2025-02-04 09:34:41.041005,MIDCPNIFTY27FEB25F,FUTIDX,12001.75,127440,12000.1,12004.55,2850720,480,120,NIFTY,27-FEB-2025
2025-02-04 09:34:48.669032,MIDCPNIFTY27FEB25F,FUTIDX,12004.55,127560,12002.1,12008.45,2850720,480,480,NIFTY,27-FEB-2025
2025-02-04 09:34:56.078375,MIDCPNIFTY27FEB25F,FUTIDX,12004.55,127560,12005.5,12008.5,2850720,480,120,NIFTY,27-FEB-2025
2025-02-04 09:35:08.144685,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12002.95,12009.45,2850720,720,360,NIFTY,27-FEB-2025
2025-02-04 09:35:20.696545,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12005.1,12009.9,2850720,240,360,NIFTY,27-FEB-2025
2025-02-04 09:35:30.233405,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12005.15,12007.35,2850720,240,360,NIFTY,27-FEB-2025
2025-02-04 09:35:38.073057,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12005.25,12009.9,2850720,720,360,NIFTY,27-FEB-2025
2025-02-04 09:35:46.662409,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12009.25,12012.5,2850720,360,360,NIFTY,27-FEB-2025
2025-02-04 09:36:05.830087,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,128520,12011.25,12013.0,2850720,480,120,NIFTY,27-FEB-2025
2025-02-04 09:36:13.434078,MIDCPNIFTY27FEB25F,FUTIDX,12015.0,128760,12011.75,12015.0,2850720,480,120,NIFTY,27-FEB-2025
2025-02-04 09:36:25.723837,MIDCPNIFTY27FEB25F,FUTIDX,12019.1,130080,12012.75,12019.3,2850720,360,1920,NIFTY,27-FEB-2025
2025-02-04 09:36:38.004129,MIDCPNIFTY27FEB25F,FUTIDX,12016.0,133680,12012.7,12016.0,2850720,120,240,NIFTY,27-FEB-2025
2025-02-04 09:36:45.729984,MIDCPNIFTY27FEB25F,FUTIDX,12016.4,135000,12012.7,12016.0,2852280,120,120,NIFTY,27-FEB-2025
2025-02-04 09:36:54.163886,MIDCPNIFTY27FEB25F,FUTIDX,12014.9,135120,12012.7,12014.75,2852280,120,240,NIFTY,27-FEB-2025
2025-02-04 09:37:02.673179,MIDCPNIFTY27FEB25F,FUTIDX,12014.9,135120,12012.7,12015.05,2852280,120,120,NIFTY,27-FEB-2025
2025-02-04 09:37:10.637665,MIDCPNIFTY27FEB25F,FUTIDX,12013.15,135360,12006.6,12012.5,2852280,480,720,NIFTY,27-FEB-2025
2025-02-04 09:37:18.343326,MIDCPNIFTY27FEB25F,FUTIDX,12013.15,135360,12006.85,12011.95,2852280,480,720,NIFTY,27-FEB-2025
2025-02-04 09:37:26.729881,MIDCPNIFTY27FEB25F,FUTIDX,12013.1,136320,12009.55,12013.95,2852280,120,120,NIFTY,27-FEB-2025
2025-02-04 09:37:37.151059,MIDCPNIFTY27FEB25F,FUTIDX,12010.05,136800,12011.15,12015.95,2852280,480,120,NIFTY,27-FEB-2025
2025-02-04 09:37:50.017319,MIDCPNIFTY27FEB25F,FUTIDX,12010.05,136800,12011.0,12015.95,2852280,480,480,NIFTY,27-FEB-2025
2025-02-04 09:37:58.438149,MIDCPNIFTY27FEB25F,FUTIDX,12010.05,136800,12010.95,12014.85,2852280,120,480,NIFTY,27-FEB-2025
2025-02-04 09:38:07.525267,MIDCPNIFTY27FEB25F,FUTIDX,12010.05,136800,12010.95,12013.85,2852280,120,480,NIFTY,27-FEB-2025
2025-02-04 09:38:15.047058,MIDCPNIFTY27FEB25F,FUTIDX,12010.05,136800,12010.95,12013.5,2852280,120,480,NIFTY,27-FEB-2025
2025-02-04 09:38:22.803498,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,136920,12010.05,12013.7,2852280,120,480,NIFTY,27-FEB-2025
2025-02-04 09:38:30.674412,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,136920,12010.1,12013.3,2852280,480,480,NIFTY,27-FEB-2025
2025-02-04 09:38:39.665020,MIDCPNIFTY27FEB25F,FUTIDX,12010.95,136920,12010.95,12013.65,2852280,120,120,NIFTY,27-FEB-2025
2025-02-04 09:38:46.983161,MIDCPNIFTY27FEB25F,FUTIDX,12013.65,137040,12011.0,12015.7,2852280,600,480,NIFTY,27-FEB-2025
2025-02-04 09:38:58.452291,MIDCPNIFTY27FEB25F,FUTIDX,12016.3,137160,12015.45,12019.0,2852280,480,120,NIFTY,27-FEB-2025
2025-02-04 09:39:12.350643,MIDCPNIFTY27FEB25F,FUTIDX,12016.3,137160,12015.45,12019.0,2852280,600,120,NIFTY,27-FEB-2025
2025-02-04 09:39:20.172602,MIDCPNIFTY27FEB25F,FUTIDX,12016.3,137160,12015.45,12017.2,2852280,120,480,NIFTY,27-FEB-2025
2025-02-04 09:39:27.923410,MIDCPNIFTY27FEB25F,FUTIDX,12019.0,137160,12017.25,12019.0,2852280,480,120,NIFTY,27-FEB-2025
2025-02-04 09:39:35.314080,MIDCPNIFTY27FEB25F,FUTIDX,12022.8,137520,12018.65,12022.8,2852280,600,360,NIFTY,27-FEB-2025
2025-02-04 09:39:42.657815,MIDCPNIFTY27FEB25F,FUTIDX,12022.8,137520,12021.4,12021.6,2852280,120,360,NIFTY,27-FEB-2025
2025-02-04 09:39:50.209758,MIDCPNIFTY27FEB25F,FUTIDX,12020.85,137760,12015.85,12021.4,2844240,600,360,NIFTY,27-FEB-2025
2025-02-04 09:39:58.551605,MIDCPNIFTY27FEB25F,FUTIDX,12020.85,137760,12020.2,12020.95,2844240,120,360,NIFTY,27-FEB-2025
2025-02-04 09:40:09.364959,MIDCPNIFTY27FEB25F,FUTIDX,12020.95,138000,12020.0,12020.95,2844240,120,120,NIFTY,27-FEB-2025
