timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,strike,option_type,expiry
2025-02-07 09:40:22.424168,LT27FEB25C3350,OPTSTK,80.9,45300,80.4,81.15,276150,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:41:04.762161,LT27FEB25C3350,OPTSTK,81.0,46200,80.45,81.1,276150,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:41:42.441880,LT27FEB25C3350,OPTSTK,81.0,46650,80.45,81.1,276150,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:42:27.307945,LT27FEB25C3350,OPTSTK,80.25,46950,80.5,80.95,276450,300,300,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:43:04.861169,LT27FEB25C3350,OPTSTK,78.5,51300,78.75,79.35,276450,150,300,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:43:50.241849,LT27FEB25C3350,OPTSTK,78.45,51600,78.05,78.7,276450,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:44:29.824244,LT27FEB25C3350,OPTSTK,77.5,52050,78.0,78.35,276450,600,450,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:45:12.696687,LT27FEB25C3350,OPTSTK,76.0,59850,75.95,76.35,276450,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:45:46.594235,LT27FEB25C3350,OPTSTK,75.85,62250,75.6,76.15,278400,600,300,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:46:30.665862,LT27FEB25C3350,OPTSTK,75.6,65400,75.7,76.35,278400,300,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:47:08.651245,LT27FEB25C3350,OPTSTK,75.1,68700,74.7,75.15,278400,150,450,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:47:52.395793,LT27FEB25C3350,OPTSTK,75.25,72300,74.25,74.8,278400,150,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:48:28.274735,LT27FEB25C3350,OPTSTK,74.3,73950,74.3,74.75,278850,150,150,LT,3350.0,CE,27-FEB-2025
2025-02-07 09:49:10.456556,LT27FEB25C3350,OPTSTK,74.5,74250,74.1,74.55,278850,300,300,LT,3350.0,CE,27-FEB-2025
