timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,strike,option_type,expiry
2025-02-04 09:42:54.523724,BANKNIFTY27FEB25P50100,OPTIDX,846.0,123690,844.1,845.8,70530,30,90,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:02.484514,BANKNIFTY27FEB25P50100,OPTIDX,843.45,124980,842.85,844.7,70530,60,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:10.155772,BANKNIFTY27FEB25P50100,OPTIDX,841.1,126030,841.75,842.7,70530,30,60,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:19.248782,BANKNIFTY27FEB25P50100,OPTIDX,840.6,126660,840.25,841.9,70530,60,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:29.050666,BANKNIFTY27FEB25P50100,OPTIDX,846.1,127200,843.7,845.25,70530,60,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:41.339901,BANKNIFTY27FEB25P50100,OPTIDX,845.55,127290,844.6,846.5,70530,60,90,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:43:49.394982,BANKNIFTY27FEB25P50100,OPTIDX,849.8,128070,848.45,850.0,70530,30,120,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:44:00.875543,BANKNIFTY27FEB25P50100,OPTIDX,854.15,129570,853.6,855.45,70530,60,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:44:14.510292,BANKNIFTY27FEB25P50100,OPTIDX,859.15,131490,858.15,858.85,70530,30,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:44:37.263385,BANKNIFTY27FEB25P50100,OPTIDX,855.95,133440,854.3,856.5,70530,90,60,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:44:46.057168,BANKNIFTY27FEB25P50100,OPTIDX,853.8,133740,851.8,853.75,70530,90,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:44:55.085339,BANKNIFTY27FEB25P50100,OPTIDX,848.95,134010,849.55,851.5,70530,60,30,BANKNIFTY,50100.0,PE,27-FEB-2025
2025-02-04 09:45:03.165945,BANKNIFTY27FEB25P50100,OPTIDX,836.2,136170,837.45,839.15,70530,30,90,BANKNIFTY,50100.0,PE,27-FEB-2025
