timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-07 09:41:04.762161,DIVOPPBEES,ETF,78.19,6173,78.0,78.22,0,6,300
2025-02-07 09:41:42.441880,DIVOPPBEES,ETF,78.19,6173,78.0,78.23,0,6,300
2025-02-07 09:42:27.307945,DIVOPPBEES,ETF,78.19,6173,78.0,78.19,0,6,300
2025-02-07 09:43:04.861169,DIVOPPBEES,ETF,78.19,6173,78.0,78.21,0,6,300
2025-02-07 09:43:50.241849,DIVOPPBEES,ETF,78.18,6428,78.0,78.18,0,6,300
2025-02-07 09:44:29.824244,DIVOPPBEES,ETF,78.18,6436,78.0,78.18,0,6,300
2025-02-07 09:45:12.696687,DIVOPPBEES,ETF,78.14,6712,78.0,78.13,0,6,300
2025-02-07 09:45:46.594235,DIVOPPBEES,ETF,78.08,6805,78.0,78.1,0,6,300
2025-02-07 09:46:30.665862,DIVOPPBEES,ETF,78.1,6807,78.0,78.17,0,6,300
2025-02-07 09:47:08.651245,DIVOPPBEES,ETF,78.01,6821,78.0,78.01,0,6,60000
2025-02-07 09:47:52.395793,DIVOPPBEES,ETF,78.01,6828,78.0,78.01,0,6,60000
2025-02-07 09:48:28.274735,DIVOPPBEES,ETF,77.98,6849,77.9,77.95,0,32,60000
2025-02-07 09:49:10.456556,DIVOPPBEES,ETF,77.96,6853,77.9,77.91,0,32,60000
