timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-07 09:41:04.762161,ALPHAETF,ETF,23.52,22422,23.5,23.52,0,1646,98232
2025-02-07 09:41:04.762161,ALPHAETF,ETF,23.55,81,23.47,23.53,0,11800,99949
2025-02-07 09:41:42.441880,ALPHAETF,ETF,23.52,22422,23.5,23.52,0,3541,98232
2025-02-07 09:41:42.441880,ALPHAETF,ETF,23.55,81,23.47,23.52,0,11800,99949
2025-02-07 09:42:27.307945,ALPHAETF,ETF,23.51,24217,23.5,23.51,0,1746,96437
2025-02-07 09:42:27.307945,ALPHAETF,ETF,23.55,81,23.47,23.51,0,11800,99949
2025-02-07 09:43:04.861169,ALPHAETF,ETF,23.5,26407,23.47,23.49,0,225,94247
2025-02-07 09:43:04.861169,ALPHAETF,ETF,23.55,81,23.45,23.49,0,330,99949
2025-02-07 09:43:50.241849,ALPHAETF,ETF,23.47,26632,23.45,23.46,0,15,94022
2025-02-07 09:43:50.241849,ALPHAETF,ETF,23.55,81,23.43,23.46,0,22,99949
2025-02-07 09:44:29.824244,ALPHAETF,ETF,23.47,26634,23.45,23.47,0,15,94020
2025-02-07 09:44:29.824244,ALPHAETF,ETF,23.55,81,23.43,23.47,0,22,99949
2025-02-07 09:45:12.696687,ALPHAETF,ETF,23.45,26652,23.42,23.45,0,28,94002
2025-02-07 09:45:12.696687,ALPHAETF,ETF,23.55,81,23.4,23.45,0,113,99949
2025-02-07 09:45:46.594235,ALPHAETF,ETF,23.45,26652,23.42,23.46,0,28,94002
2025-02-07 09:45:46.594235,ALPHAETF,ETF,23.55,81,23.4,23.46,0,113,99949
2025-02-07 09:46:30.665862,ALPHAETF,ETF,23.46,26653,23.45,23.47,0,264,309
2025-02-07 09:46:30.665862,ALPHAETF,ETF,23.55,81,23.41,23.48,0,100318,99949
2025-02-07 09:47:08.651245,ALPHAETF,ETF,23.48,26770,23.45,23.48,0,264,94193
2025-02-07 09:47:08.651245,ALPHAETF,ETF,23.55,81,23.42,23.48,0,100071,99949
2025-02-07 09:47:52.395793,ALPHAETF,ETF,23.48,26770,23.45,23.47,0,264,94001
2025-02-07 09:47:52.395793,ALPHAETF,ETF,23.55,81,23.41,23.47,0,100318,99949
2025-02-07 09:48:28.274735,ALPHAETF,ETF,23.47,26775,23.45,23.46,0,264,93996
2025-02-07 09:48:28.274735,ALPHAETF,ETF,23.55,81,23.41,23.46,0,389,99949
2025-02-07 09:49:10.456556,ALPHAETF,ETF,23.45,27112,23.42,23.45,0,28,93659
2025-02-07 09:49:10.456556,ALPHAETF,ETF,23.55,81,23.4,23.45,0,42,99949
