timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-07 09:41:04.762161,ITETF,ETF,43.91,2384,43.87,43.91,0,1,18899
2025-02-07 09:41:04.762161,ITETF,ETF,43.97,82,43.79,43.91,0,20001,19918
2025-02-07 09:41:42.441880,ITETF,ETF,43.91,2384,43.87,43.91,0,1,18899
2025-02-07 09:41:42.441880,ITETF,ETF,43.97,82,43.79,43.91,0,1,19918
2025-02-07 09:42:27.307945,ITETF,ETF,43.91,2384,43.87,43.91,0,1,18899
2025-02-07 09:42:27.307945,ITETF,ETF,43.97,82,43.79,43.91,0,20001,19918
2025-02-07 09:43:04.861169,ITETF,ETF,43.94,2394,43.87,43.93,0,1,18889
2025-02-07 09:43:04.861169,ITETF,ETF,43.97,82,43.81,43.93,0,20459,19918
2025-02-07 09:43:50.241849,ITETF,ETF,43.92,2417,43.87,43.92,0,1,18866
2025-02-07 09:43:50.241849,ITETF,ETF,43.97,82,43.8,43.92,0,20000,19918
2025-02-07 09:44:29.824244,ITETF,ETF,43.92,2417,43.9,43.93,0,2,18866
2025-02-07 09:44:29.824244,ITETF,ETF,43.97,82,43.81,43.93,0,20000,19918
2025-02-07 09:45:12.696687,ITETF,ETF,43.92,2417,43.9,43.94,0,2,18866
2025-02-07 09:45:12.696687,ITETF,ETF,43.97,82,43.85,43.94,0,1,19918
2025-02-07 09:45:46.594235,ITETF,ETF,43.92,2417,43.9,43.93,0,2,18866
2025-02-07 09:45:46.594235,ITETF,ETF,43.97,82,43.85,43.92,0,1,19918
2025-02-07 09:46:30.665862,ITETF,ETF,43.97,2419,43.9,43.97,0,2,18864
2025-02-07 09:46:30.665862,ITETF,ETF,43.97,82,43.86,43.98,0,20000,19918
2025-02-07 09:47:08.651245,ITETF,ETF,43.98,2420,43.91,43.98,0,225,18863
2025-02-07 09:47:08.651245,ITETF,ETF,43.97,82,43.86,43.98,0,20381,19918
2025-02-07 09:47:52.395793,ITETF,ETF,43.98,2420,43.91,43.98,0,225,18863
2025-02-07 09:47:52.395793,ITETF,ETF,43.97,82,43.85,43.97,0,20001,19918
2025-02-07 09:48:28.274735,ITETF,ETF,43.98,2420,43.91,44.0,0,225,18863
2025-02-07 09:48:28.274735,ITETF,ETF,43.97,82,43.88,44.0,0,20000,19918
2025-02-07 09:49:10.456556,ITETF,ETF,43.98,2420,43.91,44.0,0,225,18863
2025-02-07 09:49:10.456556,ITETF,ETF,43.97,82,43.87,44.0,0,20000,19918
2025-02-07 09:49:47.316413,ITETF,ETF,43.91,2599,43.91,44.02,0,225,19032
2025-02-07 09:49:47.316413,ITETF,ETF,43.97,82,43.9,44.03,0,20000,19918
