timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-07 09:41:04.762161,INFRAIETF,ETF,85.01,1401,84.87,85.03,0,667,2000
2025-02-07 09:41:04.762161,INFRAIETF,ETF,84.9,115,84.81,85.08,0,20,30
2025-02-07 09:41:42.441880,INFRAIETF,ETF,85.02,1402,84.89,85.03,0,67,1100
2025-02-07 09:41:42.441880,INFRAIETF,ETF,84.9,115,84.83,85.04,0,20,30
2025-02-07 09:42:27.307945,INFRAIETF,ETF,84.99,1407,84.84,84.98,0,67,1100
2025-02-07 09:42:27.307945,INFRAIETF,ETF,84.9,115,84.77,85.05,0,50,600
2025-02-07 09:43:04.861169,INFRAIETF,ETF,84.95,1447,84.82,84.96,0,167,100
2025-02-07 09:43:04.861169,INFRAIETF,ETF,84.9,115,84.76,85.02,0,20,330
2025-02-07 09:43:50.241849,INFRAIETF,ETF,84.94,1457,84.79,84.92,0,67,100
2025-02-07 09:43:50.241849,INFRAIETF,ETF,84.9,115,84.73,84.99,0,20,50
2025-02-07 09:44:29.824244,INFRAIETF,ETF,84.94,1457,84.76,84.9,0,167,100
2025-02-07 09:44:29.824244,INFRAIETF,ETF,84.9,115,84.69,84.96,0,250,300
2025-02-07 09:45:12.696687,INFRAIETF,ETF,84.86,1462,84.71,84.85,0,167,100
2025-02-07 09:45:12.696687,INFRAIETF,ETF,84.92,119,84.64,84.89,0,20,30
2025-02-07 09:45:46.594235,INFRAIETF,ETF,84.79,1467,84.64,84.77,0,67,100
2025-02-07 09:45:46.594235,INFRAIETF,ETF,84.85,124,84.56,84.83,0,83,30
2025-02-07 09:46:30.665862,INFRAIETF,ETF,84.71,1477,84.76,84.89,0,57,100
2025-02-07 09:46:30.665862,INFRAIETF,ETF,84.85,124,84.7,84.96,0,297,598
2025-02-07 09:47:08.651245,INFRAIETF,ETF,84.71,1477,84.71,84.84,0,57,100
2025-02-07 09:47:08.651245,INFRAIETF,ETF,84.85,124,84.62,84.89,0,617,30
2025-02-07 09:47:52.395793,INFRAIETF,ETF,84.71,1477,84.68,84.81,0,57,100
2025-02-07 09:47:52.395793,INFRAIETF,ETF,84.85,124,84.6,84.82,0,17,30
2025-02-07 09:48:28.274735,INFRAIETF,ETF,84.71,1477,84.72,84.76,0,57,100
2025-02-07 09:48:28.274735,INFRAIETF,ETF,84.85,124,84.51,84.86,0,182,598
2025-02-07 09:49:10.456556,INFRAIETF,ETF,84.71,1548,84.6,84.75,0,100,100
2025-02-07 09:49:10.456556,INFRAIETF,ETF,84.55,222,84.53,84.8,0,250,30
2025-02-07 09:49:47.316413,INFRAIETF,ETF,84.79,1565,84.66,84.81,0,100,100
2025-02-07 09:49:47.316413,INFRAIETF,ETF,84.85,227,84.59,84.87,0,30,598
