timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,strike,option_type,expiry
2025-02-04 09:25:28.150453,NIFTY06FEB25P23600,OPTIDX,145.95,2788875,145.65,145.75,2110125,1800,225,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:25:36.196977,NIFTY06FEB25P23600,OPTIDX,146.65,2818875,146.45,146.8,2110125,1575,525,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:25:45.064467,NIFTY06FEB25P23600,OPTIDX,147.55,2836050,147.3,147.65,2110125,1425,375,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:25:52.906477,NIFTY06FEB25P23600,OPTIDX,147.55,2863575,147.3,147.65,2110125,675,675,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:00.868550,NIFTY06FEB25P23600,OPTIDX,148.45,2881875,148.1,148.5,2110125,1575,1500,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:08.774722,NIFTY06FEB25P23600,OPTIDX,147.85,2926650,147.8,148.2,2110125,2025,600,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:17.181276,NIFTY06FEB25P23600,OPTIDX,151.0,2999550,150.65,150.95,2110125,750,75,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:42.224814,NIFTY06FEB25P23600,OPTIDX,150.5,3115425,150.5,150.9,2110125,975,825,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:50.862133,NIFTY06FEB25P23600,OPTIDX,150.6,3143700,149.85,150.2,2110125,1275,375,NIFTY,23600.0,PE,06-FEB-2025
2025-02-04 09:26:58.817694,NIFTY06FEB25P23600,OPTIDX,153.05,3207825,152.85,153.2,2110125,1200,1725,NIFTY,23600.0,PE,06-FEB-2025
