timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,strike,option_type,expiry
2025-02-11 11:39:26.002349,HCLTECH27FEB25P1740,OPTSTK,30.0,247800,30.05,30.2,191100,350,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:39:59.343295,HCLTECH27FEB25P1740,OPTSTK,30.25,248500,30.1,30.3,191450,350,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:40:30.827106,HCLTECH27FEB25P1740,OPTSTK,30.1,249200,30.05,30.35,191450,1050,1750,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:41:08.405377,HCLTECH27FEB25P1740,OPTSTK,30.5,249550,30.25,30.5,191450,1050,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:41:44.631910,HCLTECH27FEB25P1740,OPTSTK,30.5,249550,30.2,30.45,191450,350,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:42:22.202747,HCLTECH27FEB25P1740,OPTSTK,30.15,249900,29.85,30.1,191450,350,1050,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:42:54.121222,HCLTECH27FEB25P1740,OPTSTK,29.95,249900,29.8,30.0,191800,700,1750,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:43:31.219079,HCLTECH27FEB25P1740,OPTSTK,29.95,251650,29.9,30.2,191800,700,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:44:04.437295,HCLTECH27FEB25P1740,OPTSTK,29.95,251650,30.4,30.7,191800,350,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:44:41.795856,HCLTECH27FEB25P1740,OPTSTK,30.75,252000,30.5,30.75,191800,350,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:45:15.219921,HCLTECH27FEB25P1740,OPTSTK,31.25,252350,31.0,31.25,191800,350,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:45:47.963973,HCLTECH27FEB25P1740,OPTSTK,31.25,252700,31.15,31.4,191800,350,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:46:28.711632,HCLTECH27FEB25P1740,OPTSTK,32.0,252700,31.7,32.0,190750,350,1050,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:47:05.947582,HCLTECH27FEB25P1740,OPTSTK,32.25,253400,32.05,32.35,190750,350,1050,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:47:40.025787,HCLTECH27FEB25P1740,OPTSTK,32.9,254100,32.45,32.75,190750,1400,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:48:16.603025,HCLTECH27FEB25P1740,OPTSTK,32.9,255500,32.5,32.7,190750,350,350,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:48:48.809883,HCLTECH27FEB25P1740,OPTSTK,32.6,255500,32.4,32.65,190750,700,700,HCLTECH,1740.0,PE,27-FEB-2025
2025-02-11 11:49:25.987574,HCLTECH27FEB25P1740,OPTSTK,32.6,255850,32.4,32.7,190750,700,350,HCLTECH,1740.0,PE,27-FEB-2025
