timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-04 09:17:10.806738,SHRIRAMFIN,EQ,549.15,335600,549.0,549.15,0,3318,694
2025-02-04 09:17:18.767300,SHRIRAMFIN,EQ,549.0,348350,548.7,549.0,0,38,154
2025-02-04 09:17:31.178957,SHRIRAMFIN,EQ,548.55,354997,548.55,548.65,0,362,130
2025-02-04 09:17:42.301419,SHRIRAMFIN,EQ,548.25,369601,548.2,548.35,0,365,33
2025-02-04 09:17:51.098043,SHRIRAMFIN,EQ,549.45,377886,549.3,549.5,0,45,33
2025-02-04 09:17:58.037062,SHRIRAMFIN,EQ,549.3,382269,549.25,549.35,0,610,39
2025-02-04 09:18:05.328612,SHRIRAMFIN,EQ,550.0,390443,549.55,550.0,0,143,30
2025-02-04 09:18:12.186868,SHRIRAMFIN,EQ,550.3,393525,550.1,550.35,0,1,143
2025-02-04 09:18:18.713119,SHRIRAMFIN,EQ,550.1,396942,550.0,550.1,0,390,12
2025-02-04 09:18:25.389410,SHRIRAMFIN,EQ,550.3,406649,550.0,550.35,0,298,121
2025-02-04 09:18:33.347594,SHRIRAMFIN,EQ,549.5,408832,549.65,549.85,0,86,1050
2025-02-04 09:18:46.160138,SHRIRAMFIN,EQ,549.65,416396,549.55,549.65,0,67,1
2025-02-04 09:18:58.452971,SHRIRAMFIN,EQ,550.85,420187,550.7,550.9,0,1,248
2025-02-04 09:19:05.091451,SHRIRAMFIN,EQ,550.9,423561,550.65,550.9,0,178,91
2025-02-04 09:19:12.864744,SHRIRAMFIN,EQ,550.8,427536,550.65,550.75,0,494,11
2025-02-04 09:19:20.866937,SHRIRAMFIN,EQ,549.5,430566,549.65,549.85,0,99,28
2025-02-04 09:19:28.439894,SHRIRAMFIN,EQ,549.45,436728,549.45,549.75,0,35,140
2025-02-04 09:19:35.789485,SHRIRAMFIN,EQ,549.75,441661,549.6,549.75,0,6,151
2025-02-04 09:19:43.244851,SHRIRAMFIN,EQ,549.55,442945,549.3,549.4,0,36,1
2025-02-04 09:19:50.621013,SHRIRAMFIN,EQ,549.55,442945,549.3,549.4,0,36,1
2025-02-04 09:20:02.915811,SHRIRAMFIN,EQ,549.5,451522,549.55,549.65,0,134,1
2025-02-04 09:20:13.551351,SHRIRAMFIN,EQ,549.5,457623,549.5,549.7,0,5,107
2025-02-04 09:20:20.988457,SHRIRAMFIN,EQ,549.2,460549,549.2,549.35,0,101,38
2025-02-04 09:20:29.116756,SHRIRAMFIN,EQ,548.85,467602,548.8,549.15,0,134,222
