timestamp,symbol,index_name,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-01-29 09:29:10.266040,NIFTY30JAN25F,NIFTY,23009.65,370000,23007.3,23012.5,8961275,150,75
2025-01-29 09:29:11.642142,NIFTY30JAN25F,NIFTY,23006.15,370250,23006.15,23007.3,8961275,25,50
2025-01-29 09:29:13.129067,NIFTY30JAN25F,NIFTY,23005.8,370975,23005.6,23011.2,8961275,25,75
2025-01-29 09:29:14.528831,NIFTY30JAN25F,NIFTY,23005.2,371025,23005.9,23007.3,8961275,125,25
2025-01-29 09:29:15.894015,NIFTY30JAN25F,NIFTY,23005.95,371025,23005.9,23007.3,8961275,125,25
2025-01-29 09:29:17.212065,NIFTY30JAN25F,NIFTY,23005.85,371175,23006.3,23010.0,8961275,25,1775
2025-01-29 09:29:18.532619,NIFTY30JAN25F,NIFTY,23005.5,371625,23005.5,23010.0,8961275,25,1750
2025-01-29 09:29:19.954772,NIFTY30JAN25F,NIFTY,23005.2,371700,23005.45,23009.65,8961275,100,25
2025-01-29 09:29:21.298783,NIFTY30JAN25F,NIFTY,23010.0,371950,23007.9,23009.65,8961275,50,25
2025-01-29 09:29:22.697704,NIFTY30JAN25F,NIFTY,23005.9,371950,23007.9,23009.65,8961275,50,25
2025-01-29 09:29:24.005017,NIFTY30JAN25F,NIFTY,23006.4,373325,23006.25,23009.9,8961275,350,675
2025-01-29 09:29:25.333736,NIFTY30JAN25F,NIFTY,23009.7,374650,23008.5,23009.9,8961275,125,675
2025-01-29 09:29:26.918080,NIFTY30JAN25F,NIFTY,23009.9,375525,23009.45,23009.9,8961275,225,150
2025-01-29 09:29:28.241724,NIFTY30JAN25F,NIFTY,23012.2,379025,23011.05,23012.2,8961275,25,50
2025-01-29 09:29:29.589323,NIFTY30JAN25F,NIFTY,23012.2,379225,23009.9,23012.35,8961275,250,25
2025-01-29 09:29:30.998687,NIFTY30JAN25F,NIFTY,23009.9,379225,23009.9,23012.35,8961275,250,25
2025-01-29 09:29:32.297880,NIFTY30JAN25F,NIFTY,23009.35,379500,23009.9,23012.35,8961275,25,25
2025-01-29 09:29:33.704923,NIFTY30JAN25F,NIFTY,23009.4,379850,23009.85,23012.35,8961275,50,200
2025-01-29 09:29:35.110712,NIFTY30JAN25F,NIFTY,23009.8,380350,23010.0,23012.0,8961275,250,25
2025-01-29 09:29:36.419023,NIFTY30JAN25F,NIFTY,23011.3,381050,23011.35,23012.0,8961275,250,50
2025-01-29 09:29:37.833956,NIFTY30JAN25F,NIFTY,23014.8,381825,23011.05,23014.8,8961275,25,300
2025-01-29 09:29:39.195638,NIFTY30JAN25F,NIFTY,23011.75,381825,23011.05,23014.8,8961275,25,300
2025-01-29 09:29:40.538309,NIFTY30JAN25F,NIFTY,23013.8,382850,23013.2,23014.8,8961275,125,475
2025-01-29 09:29:41.881924,NIFTY30JAN25F,NIFTY,23014.75,384600,23014.2,23014.8,8961275,50,50
2025-01-29 09:29:43.220497,NIFTY30JAN25F,NIFTY,23013.6,384975,23013.55,23014.75,8961275,25,50
2025-01-29 09:29:44.541437,NIFTY30JAN25F,NIFTY,23013.0,386750,23013.05,23013.55,8961275,50,25
2025-01-29 09:29:46.091346,NIFTY30JAN25F,NIFTY,23013.55,386750,23013.05,23013.55,8961275,50,25
