timestamp,symbol,index_name,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-01-29 09:29:10.266040,BANKNIFTY30JAN25F,BANKNIFTY,48884.55,107415,48884.55,48886.0,1489875,15,15
2025-01-29 09:29:11.642142,BANKNIFTY30JAN25F,BANKNIFTY,48886.0,107415,48884.55,48886.0,1489875,15,15
2025-01-29 09:29:13.129067,BANKNIFTY30JAN25F,BANKNIFTY,48885.9,107430,48880.65,48882.65,1489875,15,30
2025-01-29 09:29:14.528831,BANKNIFTY30JAN25F,BANKNIFTY,48887.5,107580,48886.0,48890.0,1489875,45,30
2025-01-29 09:29:15.894015,BANKNIFTY30JAN25F,BANKNIFTY,48882.25,107640,48882.2,48890.0,1489875,15,30
2025-01-29 09:29:17.212065,BANKNIFTY30JAN25F,BANKNIFTY,48886.0,107670,48884.15,48886.0,1489875,15,45
2025-01-29 09:29:18.532619,BANKNIFTY30JAN25F,BANKNIFTY,48885.0,107775,48884.9,48885.95,1489875,30,30
2025-01-29 09:29:19.954772,BANKNIFTY30JAN25F,BANKNIFTY,48890.0,107775,48884.9,48885.95,1489875,30,30
2025-01-29 09:29:21.298783,BANKNIFTY30JAN25F,BANKNIFTY,48893.2,108000,48890.65,48893.95,1489875,30,60
2025-01-29 09:29:22.697704,BANKNIFTY30JAN25F,BANKNIFTY,48893.95,108045,48888.2,48893.95,1489875,15,60
2025-01-29 09:29:24.005017,BANKNIFTY30JAN25F,BANKNIFTY,48888.0,108075,48887.6,48893.95,1489875,15,105
2025-01-29 09:29:25.333736,BANKNIFTY30JAN25F,BANKNIFTY,48890.15,108240,48890.45,48893.95,1489875,15,105
2025-01-29 09:29:26.918080,BANKNIFTY30JAN25F,BANKNIFTY,48890.15,108240,48889.7,48893.95,1489875,15,135
2025-01-29 09:29:28.241724,BANKNIFTY30JAN25F,BANKNIFTY,48890.55,108270,48888.2,48893.9,1489875,15,60
2025-01-29 09:29:29.589323,BANKNIFTY30JAN25F,BANKNIFTY,48889.7,108270,48888.2,48893.9,1489875,15,60
2025-01-29 09:29:30.998687,BANKNIFTY30JAN25F,BANKNIFTY,48886.0,108480,48885.4,48893.85,1489875,15,30
2025-01-29 09:29:32.297880,BANKNIFTY30JAN25F,BANKNIFTY,48886.0,108480,48887.05,48888.7,1489875,15,15
2025-01-29 09:29:33.704923,BANKNIFTY30JAN25F,BANKNIFTY,48888.7,108525,48887.0,48888.7,1489875,150,135
