timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,strike,option_type,expiry
2025-02-07 09:41:04.762161,BANKNIFTY27FEB25C50600,OPTIDX,833.0,362160,831.95,833.7,217950,30,90,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:41:42.441880,BANKNIFTY27FEB25C50600,OPTIDX,824.05,373170,821.7,822.95,217950,60,60,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:42:27.307945,BANKNIFTY27FEB25C50600,OPTIDX,831.55,380880,830.0,831.6,222330,150,90,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:43:04.861169,BANKNIFTY27FEB25C50600,OPTIDX,822.25,390570,821.1,822.6,222330,30,30,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:43:50.241849,BANKNIFTY27FEB25C50600,OPTIDX,831.1,394530,829.65,831.0,222330,30,90,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:44:29.824244,BANKNIFTY27FEB25C50600,OPTIDX,822.6,402720,822.4,824.2,222330,300,60,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:45:12.696687,BANKNIFTY27FEB25C50600,OPTIDX,810.2,419970,810.6,812.45,222330,180,240,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:45:46.594235,BANKNIFTY27FEB25C50600,OPTIDX,820.85,428760,821.65,823.35,220590,30,90,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:46:30.665862,BANKNIFTY27FEB25C50600,OPTIDX,823.7,443100,823.9,825.65,220590,90,30,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:47:08.651245,BANKNIFTY27FEB25C50600,OPTIDX,818.6,449910,817.3,818.8,220590,60,60,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:47:52.395793,BANKNIFTY27FEB25C50600,OPTIDX,818.0,454770,817.0,818.5,220590,30,90,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:48:28.274735,BANKNIFTY27FEB25C50600,OPTIDX,814.1,460260,814.7,816.3,219240,90,150,BANKNIFTY,50600.0,CE,27-FEB-2025
2025-02-07 09:49:10.456556,BANKNIFTY27FEB25C50600,OPTIDX,820.0,462210,818.9,820.0,219240,30,60,BANKNIFTY,50600.0,CE,27-FEB-2025
