timestamp,symbol,ltp,volume,bid,ask,oi
2025-01-28 09:43:47.956563,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:47.956563,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:49.183109,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:49.183109,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:50.444213,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:50.444213,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:51.798597,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:51.798597,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:53.077668,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:53.077668,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:54.354160,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:54.354160,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:55.576297,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:55.576297,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:58.031548,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:58.031548,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:43:59.316124,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:43:59.316124,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:00.629686,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:00.629686,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:01.840786,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:01.840786,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:03.106289,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:03.106289,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:04.359289,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:04.359289,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:05.595707,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:05.595707,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:06.962660,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:06.962660,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:08.210984,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:08.210984,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:09.446379,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:09.446379,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:10.652752,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:10.652752,ZYDUSLIFE,0.05,0,0.0,0.0,0
2025-01-28 09:44:11.863115,ZYDUSLIFE,500.55,0,0.0,0.0,0
2025-01-28 09:44:11.863115,ZYDUSLIFE,0.05,0,0.0,0.0,0
