timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-11 11:39:26.002349,BPCL,EQ,258.15,2909814,258.1,258.25,0,910,2217
2025-02-11 11:39:59.343295,BPCL,EQ,258.05,2912110,258.05,258.15,0,412,191
2025-02-11 11:40:30.827106,BPCL,EQ,258.05,2914591,258.05,258.15,0,280,534
2025-02-11 11:41:08.405377,BPCL,EQ,258.1,2915223,258.05,258.1,0,349,1855
2025-02-11 11:41:44.631910,BPCL,EQ,258.25,2922291,258.2,258.25,0,315,358
2025-02-11 11:42:22.202747,BPCL,EQ,258.6,2946774,258.5,258.6,0,144,323
2025-02-11 11:42:54.121222,BPCL,EQ,258.6,2960621,258.6,258.7,0,1305,1667
2025-02-11 11:43:31.219079,BPCL,EQ,258.7,2961546,258.7,258.75,0,395,49
2025-02-11 11:44:04.437295,BPCL,EQ,258.4,2972342,258.25,258.4,0,2813,1868
2025-02-11 11:44:41.795856,BPCL,EQ,258.3,2973831,258.3,258.35,0,220,450
2025-02-11 11:45:15.219921,BPCL,EQ,258.25,2974248,258.25,258.35,0,405,499
2025-02-11 11:45:47.963973,BPCL,EQ,258.6,2975743,258.45,258.6,0,2270,502
2025-02-11 11:46:28.711632,BPCL,EQ,258.45,2978287,258.45,258.55,0,1128,547
2025-02-11 11:47:05.947582,BPCL,EQ,258.55,2978291,258.45,258.55,0,1303,673
2025-02-11 11:47:40.025787,BPCL,EQ,258.5,2982998,258.45,258.5,0,619,3362
2025-02-11 11:48:16.603025,BPCL,EQ,258.45,2983189,258.45,258.5,0,551,3364
2025-02-11 11:48:48.809883,BPCL,EQ,258.4,2989782,258.4,258.45,0,497,328
2025-02-11 11:49:25.987574,BPCL,EQ,258.35,3009383,258.35,258.45,0,257,1564
2025-02-11 11:49:57.852239,BPCL,EQ,258.4,3009535,258.35,258.45,0,182,1573
2025-02-11 11:50:31.446112,BPCL,EQ,258.35,3010673,258.35,258.4,0,165,1601
2025-02-11 11:51:04.279007,BPCL,EQ,258.25,3013758,258.25,258.35,0,2044,269
2025-02-11 11:51:37.909886,BPCL,EQ,258.35,3013771,258.3,258.35,0,584,881
2025-02-11 11:52:14.948975,BPCL,EQ,258.45,3021561,258.4,258.45,0,1765,1471
2025-02-11 11:52:48.185658,BPCL,EQ,258.4,3021962,258.4,258.45,0,2377,1755
