timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,strike,option_type,expiry
2025-02-04 09:25:28.150453,NIFTY06FEB25C23600,OPTIDX,77.45,10717500,77.35,77.45,7348650,150,75,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:25:36.196977,NIFTY06FEB25C23600,OPTIDX,78.4,10935825,78.5,78.7,7348650,825,975,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:25:45.064467,NIFTY06FEB25C23600,OPTIDX,76.7,11063700,76.6,76.7,7348650,75,75,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:25:52.906477,NIFTY06FEB25C23600,OPTIDX,77.25,11175600,77.1,77.25,7348650,450,900,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:00.868550,NIFTY06FEB25C23600,OPTIDX,76.95,11290950,76.9,77.1,7348650,675,1725,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:08.774722,NIFTY06FEB25C23600,OPTIDX,78.55,11394450,78.05,78.25,7348650,1650,1200,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:17.181276,NIFTY06FEB25C23600,OPTIDX,76.0,11523975,75.75,75.95,7348650,825,1950,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:42.224814,NIFTY06FEB25C23600,OPTIDX,76.3,11780475,76.1,76.3,7348650,1050,1125,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:50.862133,NIFTY06FEB25C23600,OPTIDX,76.75,11823225,77.0,77.2,7348650,2400,750,NIFTY,23600.0,CE,06-FEB-2025
2025-02-04 09:26:58.817694,NIFTY06FEB25C23600,OPTIDX,74.6,11917650,74.7,74.95,7348650,2400,3000,NIFTY,23600.0,CE,06-FEB-2025
