timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-03 09:30:10.689412,COALINDIA27FEB25F,FUTSTK,373.5,1655850,373.4,373.65,58713900,1050,3150,COALINDIA,27-FEB-2025
2025-02-03 09:32:39.120760,COALINDIA27FEB25F,FUTSTK,373.45,1955100,373.2,373.4,58730700,2100,1050,COALINDIA,27-FEB-2025
2025-02-03 09:32:46.760634,COALINDIA27FEB25F,FUTSTK,372.9,1984500,372.8,373.0,58730700,1050,4200,COALINDIA,27-FEB-2025
2025-02-03 09:33:00.834562,COALINDIA27FEB25F,FUTSTK,372.85,1991850,372.55,372.7,58730700,1050,1050,COALINDIA,27-FEB-2025
2025-02-03 09:33:12.064897,COALINDIA27FEB25F,FUTSTK,372.5,2019150,372.35,372.6,58730700,1050,6300,COALINDIA,27-FEB-2025
2025-02-03 09:33:26.671944,COALINDIA27FEB25F,FUTSTK,372.6,2042250,372.4,372.6,58730700,2100,1050,COALINDIA,27-FEB-2025
2025-02-03 09:33:34.629581,COALINDIA27FEB25F,FUTSTK,372.15,2056950,372.3,372.4,58730700,1050,4200,COALINDIA,27-FEB-2025
2025-02-03 09:33:42.235199,COALINDIA27FEB25F,FUTSTK,372.3,2066400,372.1,372.3,58740150,4200,6300,COALINDIA,27-FEB-2025
2025-02-03 09:33:50.053170,COALINDIA27FEB25F,FUTSTK,372.0,2109450,371.95,372.15,58740150,2100,2100,COALINDIA,27-FEB-2025
2025-02-03 09:33:58.410243,COALINDIA27FEB25F,FUTSTK,371.95,2116800,371.8,371.9,58740150,2100,2100,COALINDIA,27-FEB-2025
2025-02-03 09:34:10.165932,COALINDIA27FEB25F,FUTSTK,371.9,2129400,371.8,371.95,58740150,1050,7350,COALINDIA,27-FEB-2025
2025-02-03 09:34:23.396900,COALINDIA27FEB25F,FUTSTK,371.65,2155650,371.6,371.7,58740150,2100,3150,COALINDIA,27-FEB-2025
