timestamp,symbol,index_name,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-01-29 10:03:19.487388,NIFTY30JAN25F,NIFTY,23062.75,1046050,23060.4,23060.7,8998625,25,225
2025-01-29 10:03:20.865138,NIFTY30JAN25F,NIFTY,23060.4,1047550,23060.4,23062.7,8998625,25,25
2025-01-29 10:03:22.210297,NIFTY30JAN25F,NIFTY,23062.85,1048350,23059.45,23062.85,8998625,125,350
2025-01-29 10:03:23.588858,NIFTY30JAN25F,NIFTY,23062.6,1048950,23061.75,23062.7,8998625,125,125
2025-01-29 10:03:24.916374,NIFTY30JAN25F,NIFTY,23062.7,1048950,23061.75,23062.7,8998625,125,125
2025-01-29 10:03:26.316372,NIFTY30JAN25F,NIFTY,23063.85,1050050,23062.7,23063.7,8998625,50,25
2025-01-29 10:03:27.732064,NIFTY30JAN25F,NIFTY,23059.05,1050900,23060.2,23064.1,8998625,100,50
2025-01-29 10:03:29.123080,NIFTY30JAN25F,NIFTY,23059.05,1050900,23059.9,23064.35,8998625,50,50
2025-01-29 10:03:30.429761,NIFTY30JAN25F,NIFTY,23059.95,1050925,23060.05,23064.35,8998625,100,50
2025-01-29 10:03:31.770454,NIFTY30JAN25F,NIFTY,23059.95,1050925,23060.05,23064.35,8998625,100,50
2025-01-29 10:03:33.235125,NIFTY30JAN25F,NIFTY,23064.35,1050925,23060.15,23064.0,8998625,25,100
2025-01-29 10:03:34.590000,NIFTY30JAN25F,NIFTY,23064.0,1051625,23060.3,23064.45,8998625,150,50
2025-01-29 10:03:35.935094,NIFTY30JAN25F,NIFTY,23064.3,1051625,23060.15,23064.3,8998625,100,75
2025-01-29 10:03:37.385239,NIFTY30JAN25F,NIFTY,23064.3,1052975,23064.0,23064.4,8998625,25,75
2025-01-29 10:03:38.757382,NIFTY30JAN25F,NIFTY,23067.4,1054600,23066.0,23067.65,8998625,25,25
2025-01-29 10:03:40.095158,NIFTY30JAN25F,NIFTY,23067.7,1054600,23066.0,23067.65,8998625,25,25
2025-01-29 10:03:41.423910,NIFTY30JAN25F,NIFTY,23067.8,1056525,23063.2,23068.2,8998625,75,75
2025-01-29 10:03:42.889981,NIFTY30JAN25F,NIFTY,23068.45,1057725,23066.25,23067.8,8998625,50,50
2025-01-29 10:03:44.367078,NIFTY30JAN25F,NIFTY,23067.8,1058300,23062.45,23067.15,8998625,325,50
2025-01-29 10:03:45.695693,NIFTY30JAN25F,NIFTY,23067.8,1058300,23066.3,23067.3,8998625,325,50
2025-01-29 10:03:47.006849,NIFTY30JAN25F,NIFTY,23067.7,1059350,23066.35,23067.7,8998625,25,50
2025-01-29 10:03:48.338494,NIFTY30JAN25F,NIFTY,23066.45,1059350,23066.35,23067.7,8998625,25,50
2025-01-29 10:03:49.666497,NIFTY30JAN25F,NIFTY,23068.2,1059500,23066.45,23068.6,8998625,250,50
2025-01-29 10:03:51.012757,NIFTY30JAN25F,NIFTY,23067.55,1059725,23066.45,23067.3,8998625,250,25
2025-01-29 10:03:52.312799,NIFTY30JAN25F,NIFTY,23067.55,1059800,23066.5,23067.1,8998625,75,25
2025-01-29 10:03:53.641776,NIFTY30JAN25F,NIFTY,23068.25,1060275,23068.2,23068.3,8998625,25,75
2025-01-29 10:03:54.933519,NIFTY30JAN25F,NIFTY,23068.2,1060275,23068.2,23068.3,8998625,25,75
2025-01-29 10:03:56.287400,NIFTY30JAN25F,NIFTY,23066.3,1060875,23066.25,23067.05,8998625,25,50
2025-01-29 10:03:57.607200,NIFTY30JAN25F,NIFTY,23068.15,1061075,23066.3,23066.45,8998625,50,100
2025-01-29 10:03:58.958612,NIFTY30JAN25F,NIFTY,23069.0,1061725,23066.45,23068.5,8998625,25,50
2025-01-29 10:04:00.302356,NIFTY30JAN25F,NIFTY,23067.85,1061900,23062.45,23067.55,8998625,100,125
2025-01-29 10:04:02.305997,NIFTY30JAN25F,NIFTY,23069.65,1062300,23067.1,23069.6,8998625,25,50
