timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,strike,option_type,expiry
2025-02-04 09:42:54.523724,LT27FEB25P3400,OPTSTK,91.25,217200,92.0,92.5,412950,150,150,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:02.484514,LT27FEB25P3400,OPTSTK,92.5,217350,92.5,93.0,412950,150,300,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:10.155772,LT27FEB25P3400,OPTSTK,92.5,217800,92.75,93.3,412950,150,450,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:19.248782,LT27FEB25P3400,OPTSTK,93.7,217950,93.0,93.45,412950,150,600,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:29.050666,LT27FEB25P3400,OPTSTK,93.6,218250,93.35,93.9,412950,150,300,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:41.339901,LT27FEB25P3400,OPTSTK,94.2,218400,93.75,94.05,412950,450,150,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:43:49.394982,LT27FEB25P3400,OPTSTK,94.25,219000,94.0,94.6,412950,150,600,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:44:00.875543,LT27FEB25P3400,OPTSTK,93.0,219750,93.45,93.85,412950,150,150,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:44:14.510292,LT27FEB25P3400,OPTSTK,91.65,228600,90.8,91.35,412950,150,150,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:44:37.263385,LT27FEB25P3400,OPTSTK,92.45,228600,90.8,91.35,412950,150,150,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:44:46.057168,LT27FEB25P3400,OPTSTK,92.0,232050,91.9,92.45,412950,600,300,LT,3400.0,PE,27-FEB-2025
2025-02-04 09:44:55.085339,LT27FEB25P3400,OPTSTK,92.15,232050,91.9,92.45,412950,600,300,LT,3400.0,PE,27-FEB-2025
