timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-07 09:41:04.762161,WIPRO27FEB25F,FUTSTK,315.0,1314000,314.9,315.1,64551000,3000,9000,WIPRO,27-FEB-2025
2025-02-07 09:41:42.441880,WIPRO27FEB25F,FUTSTK,315.1,1335000,314.95,315.1,64551000,3000,18000,WIPRO,27-FEB-2025
2025-02-07 09:42:27.307945,WIPRO27FEB25F,FUTSTK,315.05,1371000,314.95,315.1,64584000,3000,6000,WIPRO,27-FEB-2025
2025-02-07 09:43:04.861169,WIPRO27FEB25F,FUTSTK,315.2,1392000,315.15,315.25,64584000,3000,6000,WIPRO,27-FEB-2025
2025-02-07 09:43:50.241849,WIPRO27FEB25F,FUTSTK,315.2,1410000,315.1,315.25,64584000,3000,6000,WIPRO,27-FEB-2025
2025-02-07 09:44:29.824244,WIPRO27FEB25F,FUTSTK,315.4,1434000,315.4,315.5,64584000,6000,6000,WIPRO,27-FEB-2025
2025-02-07 09:45:12.696687,WIPRO27FEB25F,FUTSTK,315.3,1455000,315.2,315.35,64584000,30000,3000,WIPRO,27-FEB-2025
2025-02-07 09:45:46.594235,WIPRO27FEB25F,FUTSTK,315.4,1578000,315.25,315.45,64593000,6000,6000,WIPRO,27-FEB-2025
2025-02-07 09:46:30.665862,WIPRO27FEB25F,FUTSTK,315.6,1626000,315.45,315.6,64593000,6000,12000,WIPRO,27-FEB-2025
2025-02-07 09:47:08.651245,WIPRO27FEB25F,FUTSTK,315.5,1653000,315.5,315.7,64593000,12000,6000,WIPRO,27-FEB-2025
2025-02-07 09:47:52.395793,WIPRO27FEB25F,FUTSTK,315.65,1686000,315.6,315.8,64593000,15000,3000,WIPRO,27-FEB-2025
2025-02-07 09:48:28.274735,WIPRO27FEB25F,FUTSTK,315.5,1719000,315.5,315.65,64668000,3000,9000,WIPRO,27-FEB-2025
2025-02-07 09:49:10.456556,WIPRO27FEB25F,FUTSTK,315.6,1731000,315.6,315.75,64668000,12000,9000,WIPRO,27-FEB-2025
