timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-07 09:41:04.762161,BEL27FEB25F,FUTSTK,280.2,3474150,280.05,280.25,97809150,5700,17100,BEL,27-FEB-2025
2025-02-07 09:41:42.441880,BEL27FEB25F,FUTSTK,279.75,3562500,279.6,279.75,97809150,8550,17100,BEL,27-FEB-2025
2025-02-07 09:42:27.307945,BEL27FEB25F,FUTSTK,279.65,3650850,279.6,279.75,97871850,5700,22800,BEL,27-FEB-2025
2025-02-07 09:43:04.861169,BEL27FEB25F,FUTSTK,278.7,3910200,278.6,278.75,97871850,8550,34200,BEL,27-FEB-2025
2025-02-07 09:43:50.241849,BEL27FEB25F,FUTSTK,278.15,4263600,278.15,278.3,97871850,2850,8550,BEL,27-FEB-2025
2025-02-07 09:44:29.824244,BEL27FEB25F,FUTSTK,277.85,4508700,277.65,277.8,97871850,5700,8550,BEL,27-FEB-2025
2025-02-07 09:45:12.696687,BEL27FEB25F,FUTSTK,277.45,4642650,277.4,277.5,97871850,5700,5700,BEL,27-FEB-2025
2025-02-07 09:45:46.594235,BEL27FEB25F,FUTSTK,277.8,4762350,277.75,277.85,97903200,11400,2850,BEL,27-FEB-2025
2025-02-07 09:46:30.665862,BEL27FEB25F,FUTSTK,277.5,5101500,277.5,277.55,97903200,37050,5700,BEL,27-FEB-2025
2025-02-07 09:47:08.651245,BEL27FEB25F,FUTSTK,277.7,5172750,277.6,277.75,97903200,2850,2850,BEL,27-FEB-2025
2025-02-07 09:47:52.395793,BEL27FEB25F,FUTSTK,277.3,5235450,277.3,277.5,97903200,14250,2850,BEL,27-FEB-2025
2025-02-07 09:48:28.274735,BEL27FEB25F,FUTSTK,277.3,5306700,277.3,277.4,98002950,14250,5700,BEL,27-FEB-2025
2025-02-07 09:49:10.456556,BEL27FEB25F,FUTSTK,277.0,5434950,276.95,277.1,98002950,5700,5700,BEL,27-FEB-2025
