timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,index_name,strike,option_type,expiry
2025-02-04 09:27:24.644780,FINNIFTY27FEB25P23450,OPTIDX,396.75,7085,397.6,399.85,6305,455,195,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:27:34.859400,FINNIFTY27FEB25P23450,OPTIDX,396.75,7085,399.1,401.6,6305,390,195,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:27:52.448701,FINNIFTY27FEB25P23450,OPTIDX,396.75,7085,399.4,401.55,6305,390,195,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:02.416122,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,400.3,402.55,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:10.706884,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,403.85,406.3,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:19.074724,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,403.85,405.9,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:26.802304,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,402.75,405.05,6045,130,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:34.612724,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,401.3,404.3,6045,65,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:28:48.844280,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,400.8,403.0,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:00.571012,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,406.45,408.85,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:11.816176,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,409.9,412.15,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:22.994533,FINNIFTY27FEB25P23450,OPTIDX,399.2,7280,412.8,415.0,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:32.491875,FINNIFTY27FEB25P23450,OPTIDX,413.05,7345,409.95,412.5,6045,130,455,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:40.055994,FINNIFTY27FEB25P23450,OPTIDX,413.05,7345,409.25,411.7,6045,390,455,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:29:49.008098,FINNIFTY27FEB25P23450,OPTIDX,409.8,7475,410.0,412.45,6045,455,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:00.667769,FINNIFTY27FEB25P23450,OPTIDX,411.05,7540,407.6,409.75,6045,390,325,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:11.076454,FINNIFTY27FEB25P23450,OPTIDX,411.05,7540,404.75,407.8,6045,390,390,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:20.227105,FINNIFTY27FEB25P23450,OPTIDX,405.9,7605,403.55,405.9,6045,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:28.546317,FINNIFTY27FEB25P23450,OPTIDX,405.9,7605,406.25,408.7,6045,520,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:37.725465,FINNIFTY27FEB25P23450,OPTIDX,405.9,7605,407.75,409.75,6045,520,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:45.791955,FINNIFTY27FEB25P23450,OPTIDX,405.9,7605,411.6,413.25,6045,130,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:30:53.302346,FINNIFTY27FEB25P23450,OPTIDX,405.9,7605,415.45,417.85,6045,520,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:01.672725,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,412.4,414.8,6175,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:09.856854,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,420.95,423.4,6175,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:22.021534,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,417.8,419.75,6175,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:32.207304,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,418.35,420.65,6175,130,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:40.508163,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,415.1,417.3,6175,390,65,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:48.337813,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,416.0,418.35,6175,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:31:57.808746,FINNIFTY27FEB25P23450,OPTIDX,416.1,7865,411.35,413.55,6175,390,260,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:32:06.044379,FINNIFTY27FEB25P23450,OPTIDX,414.15,8125,406.1,408.55,6175,390,325,FINNIFTY,23450.0,PE,27-FEB-2025
2025-02-04 09:32:18.726354,FINNIFTY27FEB25P23450,OPTIDX,402.55,8190,401.4,403.95,6175,390,65,FINNIFTY,23450.0,PE,27-FEB-2025
