timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,strike,option_type,expiry
2025-02-04 09:17:10.806738,CIPLA27FEB25P1440,OPTSTK,33.6,3575,34.4,35.1,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:17:18.767300,CIPLA27FEB25P1440,OPTSTK,33.6,3575,34.4,35.1,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:17:31.178957,CIPLA27FEB25P1440,OPTSTK,33.4,4550,32.45,33.0,281775,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:17:42.301419,CIPLA27FEB25P1440,OPTSTK,33.25,4550,32.45,33.0,281775,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:17:51.098043,CIPLA27FEB25P1440,OPTSTK,33.85,4550,32.45,33.0,281775,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:17:58.037062,CIPLA27FEB25P1440,OPTSTK,33.85,4550,32.45,33.0,281775,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:05.328612,CIPLA27FEB25P1440,OPTSTK,33.85,5525,34.2,34.8,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:12.186868,CIPLA27FEB25P1440,OPTSTK,33.85,5525,34.2,34.8,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:18.713119,CIPLA27FEB25P1440,OPTSTK,33.85,5525,34.2,34.8,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:25.389410,CIPLA27FEB25P1440,OPTSTK,33.85,5525,34.2,34.8,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:33.347594,CIPLA27FEB25P1440,OPTSTK,33.85,5525,34.2,34.8,281775,650,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:46.160138,CIPLA27FEB25P1440,OPTSTK,33.85,5525,33.85,34.35,281775,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:18:58.452971,CIPLA27FEB25P1440,OPTSTK,33.85,5525,33.85,34.35,281775,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:05.091451,CIPLA27FEB25P1440,OPTSTK,33.55,5525,33.85,34.35,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:12.864744,CIPLA27FEB25P1440,OPTSTK,33.55,6175,33.25,33.7,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:20.866937,CIPLA27FEB25P1440,OPTSTK,33.55,6175,33.25,33.7,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:28.439894,CIPLA27FEB25P1440,OPTSTK,33.55,6175,33.25,33.7,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:35.789485,CIPLA27FEB25P1440,OPTSTK,33.55,6175,33.25,33.7,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:43.244851,CIPLA27FEB25P1440,OPTSTK,32.15,6175,33.25,33.7,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:19:50.621013,CIPLA27FEB25P1440,OPTSTK,31.35,8450,31.85,32.3,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:02.915811,CIPLA27FEB25P1440,OPTSTK,31.55,8450,31.85,32.3,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:13.551351,CIPLA27FEB25P1440,OPTSTK,31.35,8450,31.85,32.3,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:20.988457,CIPLA27FEB25P1440,OPTSTK,30.85,12350,30.6,31.05,282100,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:29.116756,CIPLA27FEB25P1440,OPTSTK,30.85,12350,30.6,31.05,282100,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:36.582040,CIPLA27FEB25P1440,OPTSTK,30.9,12350,30.6,31.05,282100,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:43.210369,CIPLA27FEB25P1440,OPTSTK,30.9,12350,30.6,31.05,282100,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:49.979191,CIPLA27FEB25P1440,OPTSTK,30.9,12350,30.6,31.05,282100,325,650,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:20:56.555965,CIPLA27FEB25P1440,OPTSTK,30.9,12675,30.25,30.65,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:21:03.806131,CIPLA27FEB25P1440,OPTSTK,29.8,12675,30.25,30.65,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:21:14.806464,CIPLA27FEB25P1440,OPTSTK,28.75,12675,30.25,30.65,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
2025-02-04 09:21:26.596561,CIPLA27FEB25P1440,OPTSTK,28.5,12675,30.25,30.65,282100,325,325,CIPLA,1440.0,PE,27-FEB-2025
