timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,strike,option_type,expiry
2025-02-03 13:09:08.160236,ONGC27FEB25P245,OPTSTK,8.85,2519825,8.7,8.85,1006775,3850,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:10:54.982493,ONGC27FEB25P245,OPTSTK,8.6,2521750,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:11:01.483146,ONGC27FEB25P245,OPTSTK,8.6,2521750,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:06.975173,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:13.563337,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:21.566476,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:28.095515,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.6,8.75,1004850,1925,15400,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:35.248046,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.6,8.75,1004850,1925,15400,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:41.351801,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.6,8.75,1004850,1925,15400,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:48.725243,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.6,1004850,15400,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:12:57.061552,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.6,1004850,15400,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:04.976348,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.6,1004850,15400,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:11.519569,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.6,1004850,15400,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:17.996264,ONGC27FEB25P245,OPTSTK,8.55,2527525,8.5,8.65,1004850,13475,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:23.973374,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,13475,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:30.210383,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,13475,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:36.333333,ONGC27FEB25P245,OPTSTK,8.6,2527525,8.5,8.65,1004850,13475,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:42.779416,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:49.069028,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:13:56.673382,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:03.740793,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:12.348317,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:19.787887,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:26.030632,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.55,8.65,1004850,1925,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:32.362911,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.5,8.65,1004850,9625,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:38.639461,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.5,8.65,1004850,9625,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:45.013626,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.5,8.65,1004850,9625,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:51.861991,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:14:58.180985,ONGC27FEB25P245,OPTSTK,8.6,2531375,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:04.440904,ONGC27FEB25P245,OPTSTK,8.65,2531375,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:10.692247,ONGC27FEB25P245,OPTSTK,8.65,2531375,8.5,8.65,1004850,7700,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:16.824503,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.5,8.6,1004850,7700,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:25.123495,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.5,8.6,1004850,7700,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:33.459915,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.5,8.6,1004850,7700,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:41.032587,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,9625,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:47.244282,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,9625,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:53.472636,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,9625,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:15:59.925373,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,9625,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:06.191434,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:12.849391,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:19.924427,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:27.248636,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:33.824304,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:40.847391,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:47.548584,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:16:54.136902,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.7,1004850,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:00.585656,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.55,8.65,1004850,5775,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:06.941623,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.55,8.65,1004850,5775,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:14.289780,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.55,8.65,1004850,5775,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:20.676920,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:27.089729,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:33.395518,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:39.779757,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.65,1004850,1925,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:46.092434,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,11550,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:52.429219,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,11550,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:17:59.188757,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,11550,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:05.694481,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.6,8.75,1004850,11550,7700,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:12.204483,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.65,8.8,1004850,7700,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:18.494409,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.65,8.8,1004850,7700,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:24.702243,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.65,8.8,1004850,7700,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:31.123235,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.65,8.8,1004850,7700,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:37.634491,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.7,8.85,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:43.953525,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.7,8.85,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:50.535270,ONGC27FEB25P245,OPTSTK,8.65,2537150,8.7,8.85,1004850,5775,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:18:56.951202,ONGC27FEB25P245,OPTSTK,8.85,2539075,8.75,8.85,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:03.489672,ONGC27FEB25P245,OPTSTK,8.85,2539075,8.75,8.85,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:09.942267,ONGC27FEB25P245,OPTSTK,8.85,2539075,8.75,8.85,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:16.323081,ONGC27FEB25P245,OPTSTK,8.85,2539075,8.75,8.85,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:22.741035,ONGC27FEB25P245,OPTSTK,8.85,2550625,8.8,8.9,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:29.070981,ONGC27FEB25P245,OPTSTK,8.85,2550625,8.8,8.9,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:35.456421,ONGC27FEB25P245,OPTSTK,8.85,2550625,8.8,8.9,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:42.188868,ONGC27FEB25P245,OPTSTK,8.85,2550625,8.8,8.9,1002925,1925,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:48.724003,ONGC27FEB25P245,OPTSTK,9.0,2552550,8.95,9.0,1002925,3850,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:19:55.083237,ONGC27FEB25P245,OPTSTK,9.0,2552550,8.95,9.0,1002925,3850,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:01.518622,ONGC27FEB25P245,OPTSTK,8.95,2552550,8.95,9.0,1002925,3850,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:07.924854,ONGC27FEB25P245,OPTSTK,8.95,2552550,8.95,9.0,1002925,3850,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:14.281806,ONGC27FEB25P245,OPTSTK,8.85,2558325,8.85,8.95,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:20.721747,ONGC27FEB25P245,OPTSTK,8.85,2558325,8.85,8.95,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:27.127637,ONGC27FEB25P245,OPTSTK,8.85,2558325,8.85,8.95,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:33.692291,ONGC27FEB25P245,OPTSTK,8.85,2558325,8.85,8.95,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:40.066753,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:46.297966,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:52.523648,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:20:58.935701,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:05.269726,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:11.578966,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:17.965591,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:24.369142,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,3850,1925,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:30.767186,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,5775,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:37.194889,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,5775,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:45.611640,ONGC27FEB25P245,OPTSTK,8.85,2560250,8.75,8.85,1002925,5775,3850,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:21:53.409303,ONGC27FEB25P245,OPTSTK,8.85,2564100,8.75,8.85,1002925,1925,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:22:00.596889,ONGC27FEB25P245,OPTSTK,8.85,2564100,8.75,8.85,1002925,1925,5775,ONGC,245.0,PE,27-FEB-2025
2025-02-03 13:22:06.963403,ONGC27FEB25P245,OPTSTK,8.85,2564100,8.75,8.85,1002925,1925,5775,ONGC,245.0,PE,27-FEB-2025
