timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-11 11:39:26.002349,PHARMABEES,ETF,21.83,1124693,21.82,21.83,0,5096,3032
2025-02-11 11:39:59.343295,PHARMABEES,ETF,21.83,1126978,21.81,21.83,0,9413,3330
2025-02-11 11:40:30.827106,PHARMABEES,ETF,21.82,1127712,21.81,21.82,0,2000,2618
2025-02-11 11:41:08.405377,PHARMABEES,ETF,21.82,1128675,21.81,21.82,0,2000,1655
2025-02-11 11:41:44.631910,PHARMABEES,ETF,21.82,1129414,21.81,21.82,0,11327,916
2025-02-11 11:42:22.202747,PHARMABEES,ETF,21.84,1129638,21.82,21.83,0,12002,2775
2025-02-11 11:42:54.121222,PHARMABEES,ETF,21.84,1130626,21.83,21.84,0,16969,1114
2025-02-11 11:43:31.219079,PHARMABEES,ETF,21.84,1131423,21.83,21.84,0,16588,772
2025-02-11 11:44:04.437295,PHARMABEES,ETF,21.85,1133418,21.84,21.85,0,3238,4830
2025-02-11 11:44:41.795856,PHARMABEES,ETF,21.84,1134204,21.83,21.84,0,1295,20364
2025-02-11 11:45:15.219921,PHARMABEES,ETF,21.83,1134735,21.83,21.84,0,1368,19878
2025-02-11 11:45:47.963973,PHARMABEES,ETF,21.84,1135574,21.83,21.84,0,1332,20119
2025-02-11 11:46:28.711632,PHARMABEES,ETF,21.85,1135687,21.84,21.85,0,8976,4994
2025-02-11 11:47:05.947582,PHARMABEES,ETF,21.84,1136548,21.84,21.85,0,8790,4319
2025-02-11 11:47:40.025787,PHARMABEES,ETF,21.85,1137857,21.84,21.85,0,10774,3031
2025-02-11 11:48:16.603025,PHARMABEES,ETF,21.84,1138106,21.83,21.84,0,10897,314
2025-02-11 11:48:48.809883,PHARMABEES,ETF,21.85,1138481,21.84,21.85,0,88,84421
2025-02-11 11:49:25.987574,PHARMABEES,ETF,21.85,1145235,21.83,21.85,0,12035,3004
2025-02-11 11:49:57.852239,PHARMABEES,ETF,21.85,1145471,21.84,21.85,0,9259,102
2025-02-11 11:50:31.446112,PHARMABEES,ETF,21.85,1147156,21.84,21.85,0,6200,83908
2025-02-11 11:51:04.279007,PHARMABEES,ETF,21.85,1147256,21.83,21.85,0,8260,87303
2025-02-11 11:51:37.909886,PHARMABEES,ETF,21.84,1148032,21.83,21.84,0,154,5436
2025-02-11 11:52:14.948975,PHARMABEES,ETF,21.85,1148513,21.84,21.85,0,7001,5479
2025-02-11 11:52:48.185658,PHARMABEES,ETF,21.84,1148728,21.84,21.85,0,13285,1853
2025-02-11 11:53:24.519100,PHARMABEES,ETF,21.84,1149048,21.84,21.85,0,5985,1845
2025-02-11 11:53:55.047213,PHARMABEES,ETF,21.84,1149393,21.84,21.85,0,5982,1823
2025-02-11 11:54:33.272916,PHARMABEES,ETF,21.85,1153370,21.83,21.85,0,5039,86477
2025-02-11 11:55:06.590310,PHARMABEES,ETF,21.85,1156303,21.83,21.85,0,4039,84545
2025-02-11 11:55:42.535553,PHARMABEES,ETF,21.82,1157174,21.81,21.82,0,2453,3749
2025-02-11 11:56:19.824948,PHARMABEES,ETF,21.84,1157459,21.82,21.84,0,2572,106582
2025-02-11 11:56:54.957738,PHARMABEES,ETF,21.84,1158578,21.83,21.84,0,2000,25001
2025-02-11 11:57:29.250466,PHARMABEES,ETF,21.84,1159570,21.83,21.84,0,2587,24861
2025-02-11 11:58:02.532058,PHARMABEES,ETF,21.84,1160377,21.83,21.84,0,587,24060
2025-02-11 11:58:34.985087,PHARMABEES,ETF,21.84,1160987,21.83,21.84,0,599,105035
2025-02-11 11:59:08.800141,PHARMABEES,ETF,21.84,1166018,21.83,21.84,0,149,26508
2025-02-11 11:59:40.181643,PHARMABEES,ETF,21.83,1166389,21.82,21.84,0,2252,106489
2025-02-11 12:00:14.682111,PHARMABEES,ETF,21.83,1168618,21.82,21.83,0,5137,25395
2025-02-11 12:00:45.598907,PHARMABEES,ETF,21.83,1169921,21.82,21.83,0,5302,25000
2025-02-11 12:01:20.709287,PHARMABEES,ETF,21.84,1170578,21.83,21.84,0,2289,24346
2025-02-11 12:01:52.583348,PHARMABEES,ETF,21.85,1170862,21.84,21.85,0,50,106575
2025-02-11 12:02:23.486172,PHARMABEES,ETF,21.85,1171546,21.83,21.85,0,3149,105980
2025-02-11 12:03:04.003263,PHARMABEES,ETF,21.84,1171622,21.83,21.84,0,1150,25000
2025-02-11 12:03:35.446115,PHARMABEES,ETF,21.84,1171732,21.83,21.84,0,1152,26996
2025-02-11 12:04:11.951410,PHARMABEES,ETF,21.84,1172263,21.83,21.84,0,732,27000
2025-02-11 12:04:42.072751,PHARMABEES,ETF,21.84,1172432,21.83,21.84,0,2721,25888
2025-02-11 12:05:15.230626,PHARMABEES,ETF,21.84,1172672,21.83,21.84,0,2711,25668
2025-02-11 12:05:45.580999,PHARMABEES,ETF,21.84,1172812,21.83,21.84,0,3087,25538
2025-02-11 12:09:50.800640,PHARMABEES,ETF,21.82,1179922,21.81,21.82,0,5003,106751
